#Procedure: <__main__.IVProcedure>
#Parameters:
#	Auto Meas. Range (Y/N): Y
#	Averages: 50
#	Contact ID: unguarded_centerpixel_15mindark_negtopos
#	Data Points: 50
#	Delay Before Measure: 1.5
#	Device ID: 56AF25_10mT12nmCdSOXIDELESS_unguarded
#	Distribution (lin/log): log
#	Maximum Voltage: 1000
#	Measurement Range: 1e-06
#	Minimum Voltage: -1000
#	Enable Temperature Control? (Y/N): N
#	Setpoint Temperature: 25
#	Surface Treatment: CdS_10mTorr_12nm
#	Voltage Sweep Direction: neg-to-pos
#	Guard Ring: False
#	Probe Location: center_pixel
#Data:
Device ID,Contact ID,Temperature (C),Voltage (V),Current (A),Current Std (A)
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,14.67799267622069,1.96425e-09,5.5741e-12
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,21.54434690031882,2.62202e-09,6.82654e-12
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,31.622776601683793,3.49533e-09,7.1749e-12
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,46.41588833612777,4.71707e-09,1.23395e-11
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,68.12920690579608,6.37708e-09,1.22033e-11
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,100.0,8.89068e-09,2.19751e-11
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,146.7799267622069,1.23407e-08,2.84227e-11
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,215.44346900318823,1.80455e-08,3.82076e-11
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,316.22776601683796,2.87677e-08,5.11142e-11
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,464.15888336127773,6.03982e-08,7.19603e-11
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,681.2920690579608,1.35826e-07,1.32798e-10
56AF25_10mT12nmCdSOXIDELESS_unguarded,unguarded_centerpixel_15mindark_negtopos,nan,1000.0,2.7013e-07,2.12933e-10
