#Procedure: <__main__.IVProcedure>
#Parameters:
#	Contact ID: unguarded_centerpixel_10min
#	Current Range (A): 1e-05
#	Data Points: 10000
#	Device ID: 56AF25_10mT12nmCdSOXIDELESS_unguarded_REDLED10000mV10kR
#	Sampling Rate (NPLC): 0.01
#	Voltage (V): 1000
#	Wait Time (min): 10
#	Surface Treatment: CdS_10mTorr_12nm
#	Guard Ring: False
#	Probe Location: center_pixel
#	Red LED settings: {10.0V, 10kR}
#Data:
Device ID,Contact ID,Voltage (V),Current (A),Time (s)
56AF25_10mT12nmCdSOXIDELESS_unguarded_REDLED10000mV10kR,unguarded_centerpixel_10min,1000.0,2.548313e-07,0.048299319998477586
56AF25_10mT12nmCdSOXIDELESS_unguarded_REDLED10000mV10kR,unguarded_centerpixel_10min,1000.0,2.527831e-07,0.04953607999777887
56AF25_10mT12nmCdSOXIDELESS_unguarded_REDLED10000mV10kR,unguarded_centerpixel_10min,1000.0,2.532397e-07,0.05078284000046551
56AF25_10mT12nmCdSOXIDELESS_unguarded_REDLED10000mV10kR,unguarded_centerpixel_10min,1000.0,2.386005e-07,0.05201547999604372
56AF25_10mT12nmCdSOXIDELESS_unguarded_REDLED10000mV10kR,unguarded_centerpixel_10min,1000.0,2.706838e-07,0.053255459999490995
56AF25_10mT12nmCdSOXIDELESS_unguarded_REDLED10000mV10kR,unguarded_centerpixel_10min,1000.0,2.522538e-07,0.05449471999600064
56AF25_10mT12nmCdSOXIDELESS_unguarded_REDLED10000mV10kR,unguarded_centerpixel_10min,1000.0,2.564248e-07,0.055738720002409536
56AF25_10mT12nmCdSOXIDELESS_unguarded_REDLED10000mV10kR,unguarded_centerpixel_10min,1000.0,2.586239e-07,0.056972400001541246
56AF25_10mT12nmCdSOXIDELESS_unguarded_REDLED10000mV10kR,unguarded_centerpixel_10min,1000.0,2.538454e-07,0.05820893999771215
56AF25_10mT12nmCdSOXIDELESS_unguarded_REDLED10000mV10kR,unguarded_centerpixel_10min,1000.0,2.536181e-07,0.05944476000149734
