#Procedure: <__main__.IVProcedure>
#Parameters:
#	Contact ID: guarded_centerpixel_10min
#	Current Range (A): 1e-05
#	Data Points: 10000
#	Device ID: 31AF25_guardedtest_5800mV10kR
#	Sampling Rate (NPLC): 0.01
#	Voltage (V): 1000
#	Wait Time (min): 10
#Data:
Device ID,Contact ID,Voltage (V),Current (A),Time (s)
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,2.710294e-09,0.06929415999911726
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,4.347385e-10,0.07053216000349494
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,2.406523e-09,0.07176998000068124
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,9.802534e-09,0.07299801999761257
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,1.583248e-08,0.0742406600038521
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,2.559318e-09,0.07547580000391463
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,3.92356e-09,0.07672029999957886
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,2.255547e-09,0.07795679999981076
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,3.241439e-09,0.07919099999708124
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,1.193257e-09,0.0804273000030662
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,9.271389e-09,0.08166437999898335
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,8.323696e-09,0.08289445999980671
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,2.559318e-09,0.08413029999792343
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,6.621121e-10,0.08536907999950927
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,1.193257e-09,0.08661478000431089
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,9.658834e-10,0.08785098000225844
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,2.710294e-09,0.08908687999792164
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,1.211629e-08,0.09031246000085957
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,5.251422e-09,0.09155704000295373
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,7.385097e-10,0.09279352000157814
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,2.073648e-10,0.09403267999732634
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,3.317837e-09,0.09526778000144986
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,3.621608e-09,0.09650330000295071
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,1.848639e-08,0.09775351999996928
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,8.665666e-09,0.09898206000070786
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,6.124537e-09,0.10021376000076998
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,5.638867e-11,0.1014530000029481
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,3.772584e-09,0.1026977799992892
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,2.331944e-09,0.10393368000222836
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,2.710294e-09,0.105169640002714
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,2.293746e-09,0.10641197999939322
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,5.593392e-09,0.10765379999793367
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,4.378307e-09,0.1088864800040028
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,3.999958e-09,0.1101212600042345
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,1.951776e-09,0.1113578000004054
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,5.136826e-09,0.112600320004276
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,4.6075e-09,0.11383457999909297
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,1.177432e-08,0.11506571999780135
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,1.279841e-08,0.11629420000099344
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,3.165042e-09,0.11752978000004077
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,2.937668e-09,0.11877208000078099
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,2.179149e-09,0.12000912000075914
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,3.392415e-09,0.12124495999887586
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,6.351911e-09,0.12247611999919172
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,1.401168e-08,0.12372978000348667
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,4.341928e-09,0.12497386000177357
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,3.54521e-09,0.12620918000175152
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,1.269655e-09,0.12744578000274487
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,9.640644e-11,0.12869406000390882
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,4.729372e-10,0.12993332000041846
31AF25_guardedtest_5800mV10kR,guarded_centerpixel_10min,1000.0,2.227898e-08,0.13116969999828143
